CN2267507Y19971112CN9622819119960626engchi  CN2267507Y19971112CN9622819119960626engchi  NN  B-NP
19971112199711126G10  19971112199711126G10  CD  0
L3/00A6G10L300A6G08B1/00B6G08B100B6G01R31/34B6G01R3134BG01R31/3420060101CI  L3/00A6G10L300A6G08B1/00B6G08B100B6G01R31/34B6G01R3134BG01R31/3420060101CI  NN  B-NP
20051110  20051110  CD  0
RMEP  RMEP  NN  B-NP
20060101CG01R3134I20051110  20060101CG01R3134I20051110  CD  0
EPRMG  EPRMG  NR  0
01R31/3420060101AI  01R31/3420060101AI  NN  B-NP
20051110  20051110  CD  0
RMEP  RMEP  NN  B-NP
20060101AG01R3134I20051110  20060101AG01R3134I20051110  CD  0
EPRMG  EPRMG  NR  0
08B1/0020060101CI  08B1/0020060101CI  NN  B-NP
20051110  20051110  CD  0
RMEP  RMEP  NN  B-NP
20060101CG08B100I20051110  20060101CG08B100I20051110  CD  0
EPRMG  EPRMG  NR  0
08B1/0020060101AI  08B1/0020060101AI  NN  B-NP
20051110  20051110  CD  0
RMEP  RMEP  NN  B-NP
20060101AG08B100I20051110  20060101AG08B100I20051110  CD  0
EPRM5  EPRM5  NN  B-NP
具有  具有  VV  0
语言  语言  NN  B-NP
功能  功能  NN  I-NP
的  的  DEC  0
电机  电机  NN  B-NP
智检  智检  NN  I-NP
控制器  控制器  NN  I-NP
IntelligenttestingandcontrollingdevicewithspeechfunctionPENGFUCHENCN  IntelligenttestingandcontrollingdevicewithspeechfunctionPENGFUCHENCN  NN  I-NP
刘  刘  NN  I-NP
国庆  国庆  NN  I-NP
GUOQINGLIUCN  GUOQINGLIUCN  NR  0
赵芳忠  赵芳忠  NN  B-NP
FANGZHONGZHAOCN王身强SHENQIANGWANGCN邓敦夏彭富臣卜卫华刘国庆LIUGUOQINGCNGUOQINGLIUCN赵芳忠FANGZHONGZHAOCNZHAOFANGZHONGCN王身强WANGSHENQIANGCNSHENQIANGWANGCN邓敦夏彭富臣卜卫华山东省  FANGZHONGZHAOCN王身强SHENQIANGWANGCN邓敦夏彭富臣卜卫华刘国庆LIUGUOQINGCNGUOQINGLIUCN赵芳忠FANGZHONGZHAOCNZHAOFANGZHONGCN王身强WANGSHENQIANGCNSHENQIANGWANGCN邓敦夏彭富臣卜卫华山东省  PU  0
专利  专利  NN  B-NP
事务  事务  NN  I-NP
所  所  NN  I-NP
(  (  PU  0
姜明  姜明  NN  B-NP
)  )  PU  0
山东省  山东省  NN  B-NP
专利  专利  NN  I-NP
事务  事务  NN  I-NP
所  所  NN  I-NP
(  (  PU  0
姜明  姜明  NN  B-NP
)  )  PU  0
CN2267507Y1997111219960626CN2267507Y1997111219960626  CN2267507Y1997111219960626CN2267507Y1997111219960626  NN  B-NP
本  本  DT  0
实用  实用  JJ  B-NP
新型  新型  NN  I-NP
提供  提供  VV  0
了  了  AS  0
一  一  CD  0
种  种  M  0
具有  具有  VV  0
语言  语言  NN  B-NP
功能  功能  NN  I-NP
的  的  DEC  0
电机  电机  NN  B-NP
智检  智检  NN  I-NP
控制器  控制器  NN  I-NP
，  ，  PU  0
包括  包括  VV  0
接触器  接触器  NN  B-NP
D  D  NN  I-NP
、  、  PU  0
电流  电流  NN  B-NP
互感器  互感器  NN  I-NP
E  E  NN  I-NP
、  、  PU  0
应答器  应答器  NN  B-NP
F  F  NN  I-NP
、  、  PU  0
接收器  接收器  NN  B-NP
G  G  CD  0
及  及  CC  0
遥控器  遥控器  NN  B-NP
H  H  NN  I-NP
，  ，  PU  0
应答器  应答器  NN  B-NP
F  F  CD  0
根据  根据  P  0
接收器  接收器  NN  B-NP
G  G  CD  0
及  及  CC  0
与  与  P  0
其  其  PN  0
相  相  AD  0
对应  对应  VV  0
的  的  DEC  0
遥控器  遥控器  NN  B-NP
H  H  NN  I-NP
所  所  MSP  0
发出  发出  VV  0
的  的  DEC  0
指令  指令  NN  B-NP
，  ，  PU  0
给  给  P  0
放大  放大  NN  B-NP
处理  处理  NN  I-NP
后  后  LC  0
逐  逐  VV  0
使  使  VV  0
接触器  接触器  NN  B-NP
D  D  NN  I-NP
的  的  DEG  0
通断  通断  NN  B-NP
来  来  MSP  0
控制  控制  VV  0
电机  电机  NN  B-NP
M  M  NN  I-NP
的  的  DEG  0
开停  开停  NN  B-NP
，  ，  PU  0
再  再  AD  0
经  经  P  0
电流  电流  NN  B-NP
互感器  互感器  NN  I-NP
E  E  NN  I-NP
采集  采集  VV  0
电机  电机  NN  B-NP
M  M  NN  I-NP
工作  工作  VV  0
的  的  DEC  0
各  各  DT  0
种  种  M  0
状态  状态  NN  B-NP
加以  加以  VV  0
智能  智能  NN  B-NP
检测  检测  VV  0
，  ，  PU  0
并  并  CC  0
通过  通过  P  0
语言  语言  NN  B-NP
方式  方式  NN  I-NP
表达  表达  VV  0
出来  出来  VV  0
，  ，  PU  0
彻底  彻底  AD  0
解决  解决  VV  0
了  了  AS  0
长期  长期  NN  B-NP
靠  靠  P  0
人工  人工  NN  B-NP
观察  观察  NN  I-NP
指示灯  指示灯  NN  I-NP
、  、  PU  0
仪表  仪表  NN  B-NP
检测  检测  NN  I-NP
方式  方式  NN  I-NP
的  的  DEG  0
弊端  弊端  NN  B-NP
，  ，  PU  0
是  是  VC  0
一  一  CD  0
项  项  M  0
值得  值得  VV  0
推广  推广  VV  0
的  的  DEC  0
技术  技术  NN  B-NP
。  。  PU  0
Theutilitymodelprovidesanintelligenttestingandcontrollingdevicewithaspeechfunction  Theutilitymodelprovidesanintelligenttestingandcontrollingdevicewithaspeechfunction  NN  B-NP
,  ,  PU  0
whichcomprisingacontactorD  whichcomprisingacontactorD  NN  B-NP
,  ,  PU  0
acurrentmutualinductorE  acurrentmutualinductorE  NN  B-NP
,  ,  PU  0
aresponderF  aresponderF  NN  B-NP
,  ,  PU  0
anacceptorGandaremotecontrollerH  anacceptorGandaremotecontrollerH  NN  B-NP
.  .  PU  0
AccordingtotheinstructiongeneratedbytheacceptorGandthecorrespondingremotecontrollerH  AccordingtotheinstructiongeneratedbytheacceptorGandthecorrespondingremotecontrollerH  NN  B-NP
,  ,  PU  0
theresponderFcontrolsthestartingandstoppingofthemotorMbytheonandoffofthecontactorDafteramplifyingprocessandthenintelligentlychecksvariousworkingattitudesofthemotorMcollectingbythecurrentmutualinductorEforexpressioninalanguagemode  theresponderFcontrolsthestartingandstoppingofthemotorMbytheonandoffofthecontactorDafteramplifyingprocessandthenintelligentlychecksvariousworkingattitudesofthemotorMcollectingbythecurrentmutualinductorEforexpressioninalanguagemode  NN  B-NP
.  .  PU  0
Theutilitymodelwhichthoroughlysolvesthedisadvantagesofartificiallyobservingindicatinglampandinstrumentdetectioninalongtimeisatechniquewhichisworthpopularized  Theutilitymodelwhichthoroughlysolvesthedisadvantagesofartificiallyobservingindicatinglampandinstrumentdetectioninalongtimeisatechniquewhichisworthpopularized  NN  B-NP
.  .  PU  0
19971112C14  19971112C14  CD  0
+  +  CC  0
GRANTEDNCN2267507Y20020807  GRANTEDNCN2267507Y20020807  CD  0
C19  C19  NN  B-NP
-  -  PU  0
LAPSEOFPATENTRIGHTDUETONON  LAPSEOFPATENTRIGHTDUETONON  NN  B-NP
-  -  PU  0
PAYMENTOFTHEANNUALFEENCN2267507Y  PAYMENTOFTHEANNUALFEENCN2267507Y  NN  B-NP
本  本  DT  0
实用  实用  JJ  B-NP
新型  新型  NN  I-NP
涉及  涉及  VV  0
一  一  CD  0
种  种  M  0
电机  电机  NN  B-NP
控制器  控制器  NN  I-NP
，  ，  PU  0
具体  具体  VA  0
地  地  DEV  0
说  说  VV  0
是  是  VC  0
一  一  CD  0
种  种  M  0
具有  具有  VV  0
语言  语言  NN  B-NP
功能  功能  NN  I-NP
的  的  DEC  0
电机  电机  NN  B-NP
智检  智检  NN  I-NP
控制器  控制器  NN  I-NP
。  。  PU  0
目前  目前  NT  0
，  ，  PU  0
用于  用于  VV  0
控制  控制  VV  0
电机  电机  NN  B-NP
运行  运行  NN  I-NP
及  及  CC  0
检测  检测  VV  0
其  其  PN  0
工作  工作  NN  B-NP
状态  状态  NN  I-NP
的  的  DEC  0
手段  手段  NN  B-NP
，  ，  PU  0
大都  大都  AD  0
是  是  VC  0
通过  通过  P  0
安装  安装  VV  0
在  在  P  0
控制柜  控制柜  NN  B-NP
上  上  LC  0
的  的  DEG  0
开关  开关  NN  B-NP
、  、  PU  0
指示灯  指示灯  NN  B-NP
及  及  CC  0
电流  电流  NN  B-NP
、  、  PU  0
电压  电压  NN  B-NP
、  、  PU  0
功率  功率  NN  B-NP
因  因  P  0
数  数  NN  B-NP
等  等  ETC  0
仪表  仪表  NN  B-NP
来  来  MSP  0
实现  实现  VV  0
的  的  SP  0
。  。  PU  0
此  此  DT  0
种  种  M  0
形式  形式  NN  B-NP
地  地  DEV  0
控制  控制  VV  0
柜  柜  NN  B-NP
不仅  不仅  CC  0
给  给  VV  0
操作  操作  NN  B-NP
、  、  PU  0
检测  检测  VV  0
工作  工作  NN  B-NP
带来  带来  VV  0
较  较  AD  0
大  大  VA  0
麻烦  麻烦  VA  0
，  ，  PU  0
而且  而且  CC  0
因  因  P  0
各  各  DT  0
种  种  M  0
仪表  仪表  NN  B-NP
本身  本身  PN  0
要求  要求  VV  0
所  所  MSP  0
至  至  VV  0
，  ，  PU  0
特别不  特别不  AD  0
适合  适合  VV  0
在  在  P  0
野外  野外  NN  B-NP
、  、  PU  0
露天  露天  NN  B-NP
、  、  PU  0
井下  井下  NN  B-NP
等  等  ETC  0
工作  工作  NN  B-NP
环境  环境  NN  I-NP
恶劣  恶劣  VV  0
的  的  DEC  0
条件  条件  NN  B-NP
下  下  LC  0
使用  使用  VV  0
。  。  PU  0
由  由  P  0
此  此  DT  0
长期  长期  JJ  0
以来  以来  JJ  0
此  此  DT  0
种  种  M  0
形式  形式  NN  B-NP
的  的  DEC  0
电机  电机  NN  B-NP
控制柜  控制柜  NN  I-NP
在  在  P  0
实际  实际  JJ  B-NP
使用  使用  NN  I-NP
当  当  NN  I-NP
中  中  LC  0
给  给  VV  0
方方  方方  NN  B-NP
面面  面面  NN  I-NP
带来  带来  VV  0
了  了  AS  0
诸多  诸多  CD  0
烦恼  烦恼  NN  B-NP
。  。  PU  0
本  本  DT  0
实用  实用  JJ  B-NP
新型  新型  NN  I-NP
的  的  DEG  0
目的  目的  NN  B-NP
是  是  VC  0
为  为  P  0
克服  克服  VV  0
上述  上述  JJ  B-NP
技术  技术  NN  I-NP
不足部  不足部  NN  I-NP
分  分  NN  I-NP
，  ，  PU  0
提供  提供  VV  0
一  一  CD  0
种  种  M  0
无需  无需  AD  0
工作  工作  VV  0
人员  人员  NN  B-NP
靠  靠  P  0
观察  观察  NN  B-NP
指示灯  指示灯  NN  I-NP
