CN1015464B  |||  S: 1 E: 11  |||  NN
19920212CN8910721819890912  |||  S: 11 E: 37  |||  CD
engchiUS  |||  S: 37 E: 45  |||  NN
06907943A19860910US90794386A1986091087106782US1986090794319920212199202128  |||  S: 45 E: 119  |||  CD
-  |||  S: 119 E: 120  |||  PU
065  |||  S: 120 E: 123  |||  CD
C08K3/08A5C08K308A5C08L83/04B5C08L8304BB  |||  S: 123 E: 163  |||  NN
22D19  |||  S: 163 E: 168  |||  CD
/  |||  S: 168 E: 169  |||  PU
0020060101  |||  S: 169 E: 179  |||  CD
AFI  |||  S: 179 E: 182  |||  NN
20060310  |||  S: 182 E: 190  |||  CD
RMJP  |||  S: 190 E: 194  |||  NN
20060101AB22D1900FI20060310  |||  S: 194 E: 221  |||  CD
JPRMB  |||  S: 221 E: 226  |||  NN
22D19  |||  S: 226 E: 231  |||  CD
/  |||  S: 231 E: 232  |||  PU
1420060101  |||  S: 232 E: 242  |||  CD
ALI  |||  S: 242 E: 245  |||  NN
20060310  |||  S: 245 E: 253  |||  CD
RMJP  |||  S: 253 E: 257  |||  NN
20060101AB22D1914LI20060310  |||  S: 257 E: 284  |||  CD
JPRMB  |||  S: 284 E: 289  |||  NN
28  |||  S: 289 E: 291  |||  CD
B3/0020060101ALI  |||  S: 291 E: 307  |||  NN
20060310  |||  S: 307 E: 315  |||  CD
RMJP  |||  S: 315 E: 319  |||  NN
20060101AB28B300LI20060310  |||  S: 319 E: 345  |||  CD
JPRMB  |||  S: 345 E: 350  |||  NN
29  |||  S: 350 E: 352  |||  CD
C43  |||  S: 352 E: 355  |||  NN
/  |||  S: 355 E: 356  |||  PU
0020060101AN20051008RMEP20060101AB29C4300N20051008  |||  S: 356 E: 406  |||  CD
EPRMB  |||  S: 406 E: 411  |||  NN
29  |||  S: 411 E: 413  |||  CD
C43/1020060101AI  |||  S: 413 E: 429  |||  NN
20051008  |||  S: 429 E: 437  |||  CD
RMEP  |||  S: 437 E: 441  |||  NN
20060101AB29C4310I20051008  |||  S: 441 E: 467  |||  CD
