CN1013622B  CN1013622B  NN  B-NP
19910821CN8710559819870625  19910821CN8710559819870625  CD  0
engchiNL  engchiNL  NN  B-NP
8601678A198606268601678NL1986000167819910821199108215G21  8601678A198606268601678NL1986000167819910821199108215G21  CD  0
K1/10A5G21K110A5G01  K1/10A5G21K110A5G01  NN  B-NP
T1/17B5G01  T1/17B5G01  NN  I-NP
T117BA  T117BA  NN  I-NP
61  61  CD  0
B6/0020060101CFI  B6/0020060101CFI  NN  B-NP
20060310  20060310  CD  0
RMJP  RMJP  NN  B-NP
20060101CA61B600FI20060310  20060101CA61B600FI20060310  CD  0
JPRMA  JPRMA  NN  B-NP
61  61  CD  0
B6/0020060101ALI  B6/0020060101ALI  NN  B-NP
20051220  20051220  CD  0
RMJP  RMJP  NN  B-NP
20060101AA61B600LI20051220  20060101AA61B600LI20051220  CD  0
JPRMA  JPRMA  NN  B-NP
61  61  CD  0
B6/0620060101CI  B6/0620060101CI  NN  B-NP
20051008  20051008  CD  0
RMEP  RMEP  NN  B-NP
20060101CA61B606I20051008  20060101CA61B606I20051008  CD  0
EPRMA  EPRMA  NN  B-NP
61  61  CD  0
B6/0620060101AI  B6/0620060101AI  NN  B-NP
20051008  20051008  CD  0
RMEP  RMEP  NN  B-NP
20060101AA61B606I20051008  20060101AA61B606I20051008  CD  0
EPRMG03B42/0220060101CLI  EPRMG03B42/0220060101CLI  NN  B-NP
20060310  20060310  CD  0
RMJP  RMJP  NN  B-NP
20060101CG03B4202LI20060310  20060101CG03B4202LI20060310  CD  0
JPRMG03B42  JPRMG03B42  NN  B-NP
/  /  PU  0
0220060101  0220060101  CD  0
ALI  ALI  NN  B-NP
20060310  20060310  CD  0
RMJP  RMJP  NN  B-NP
20060101AG03B4202LI20060310JPRMG21  20060101AG03B4202LI20060310JPRMG21  CD  0
K1/0220060101CI  K1/0220060101CI  NN  B-NP
20051008  20051008  CD  0
RMEP  RMEP  NN  B-NP
20060101CG21K102I20051008  20060101CG21K102I20051008  CD  0
EPRMG  EPRMG  NR  0
21K1  21K1  NN  B-NP
/  /  PU  0
0420060101AI20051008  0420060101AI20051008  CD  0
RMEP  RMEP  NN  B-NP
20060101AG21K104I20051008  20060101AG21K104I20051008  CD  0
EPRMH05G1/0020060101CLI  EPRMH05G1/0020060101CLI  NN  B-NP
20051220  20051220  CD  0
RMJP  RMJP  NN  B-NP
20060101CH05G100LI20051220  20060101CH05G100LI20051220  CD  0
JPRMH05G1  JPRMH05G1  NN  B-NP
/  /  PU  0
6420060101  6420060101  CD  0
ALI  ALI  NN  B-NP
20060310  20060310  CD  0
RMJP  RMJP  NN  B-NP
20060101AH05G164LI20060310  20060101AH05G164LI20060310  CD  0
JPRMA  JPRMA  NN  B-NP
61  61  CD  0
B6/06A61B606G21K1  B6/06A61B606G21K1  NN  B-NP
/  /  PU  0
04G21K10466  04G21K10466  CD  0
用于  用于  VV  0
狭  狭  NN  B-NP
缝射线  缝射线  NN  I-NP
照相  照相  NN  I-NP
术  术  NN  I-NP
的  的  DEC  0
方法  方法  NN  B-NP
与  与  CC  0
装置  装置  NN  B-NP
METHODANDDEVICEFORSLITRADIOGRAPHY  METHODANDDEVICEFORSLITRADIOGRAPHY  NR  0
老代  老代  NN  B-NP
尔夫  尔夫  NN  I-NP
特  特  CC  0
光学  光学  NN  B-NP
工业  工业  NN  I-NP
有  有  VE  0
限公  限公  JJ  B-NP
司荷  司荷  NN  I-NP
兰代  兰代  NN  I-NP
尔夫  尔夫  NN  I-NP
特  特  CC  0
B  B  NN  B-NP
.  .  PU  0
V  V  NN  B-NP
.  .  PU  0
OPTISCHEINDUSTRIDE  OPTISCHEINDUSTRIDE  NN  B-NP
"  "  PU  0
DEOUDEDELFT  DEOUDEDELFT  NN  B-NP
"  "  PU  0
NL  NL  NN  B-NP
老代  老代  JJ  B-NP
尔夫  尔夫  NN  I-NP
特  特  CC  0
光学  光学  NN  B-NP
工业  工业  NN  I-NP
有  有  VE  0
限公  限公  JJ  B-NP
司荷  司荷  NN  I-NP
兰代  兰代  NN  I-NP
尔夫  尔夫  NN  I-NP
特  特  CC  0
OPTISCHEINDDEOUDEDELFTNVNLB  OPTISCHEINDDEOUDEDELFTNVNLB  NN  B-NP
.  .  PU  0
V  V  NN  B-NP
.  .  PU  0
OPTISCHEINDUSTRIDE  OPTISCHEINDUSTRIDE  NN  B-NP
"  "  PU  0
DEOUDEDELFT  DEOUDEDELFT  NN  B-NP
"  "  PU  0
NL  NL  NN  B-NP
罗纳德  罗纳德  NN  I-NP
·  ·  PU  0
J  J  NN  B-NP
·  ·  PU  0
格卢克  格卢克  NN  B-NP
RONALDJ  RONALDJ  NN  I-NP
.  .  PU  0
GELUKNL  GELUKNL  NN  B-NP
罗纳德  罗纳德  NN  I-NP
·  ·  PU  0
J  J  NN  B-NP
·  ·  PU  0
格卢克  格卢克  NN  B-NP
G  G  CD  0
ELUKRONALDJNLRONALDJ  ELUKRONALDJNLRONALDJ  NR  0
.  .  PU  0
GELUKNL  GELUKNL  NR  0
中国  中国  JJ  B-NP
国际贸  国际贸  NN  I-NP
易  易  AD  0
促进  促进  VV  0
委员  委员  NN  B-NP
会专  会专  AD  0
利代  利代  VV  0
理部  理部  NN  B-NP
(  (  PU  0
李强  李强  NN  B-NP
)  )  PU  0
中国  中国  JJ  B-NP
国际贸  国际贸  NN  I-NP
易  易  AD  0
促进  促进  VV  0
委员  委员  NN  B-NP
会专  会专  AD  0
利代  利代  VV  0
理部  理部  NN  B-NP
(  (  PU  0
李强  李强  NN  B-NP
)  )  PU  0
