CN1928990A  CN1928990A  NN  B-NP
20070314CN20061012899120060906  20070314CN20061012899120060906  CD  0
engchiJP2005257238A200509062005  engchiJP2005257238A200509062005  NN  B-NP
-  -  PU  0
257238JP20050257238200703142007031423  257238JP20050257238200703142007031423  CD  0
-  -  PU  0
11G10L15  11G10L15  CD  0
/  /  PU  0
08  08  CD  0
AG  AG  M  0
10L1508AG11B27  10L1508AG11B27  CD  0
/  /  PU  0
10  10  CD  0
BG  BG  M  0
11B2710BG06F17  11B2710BG06F17  CD  0
/  /  PU  0
30BG06F1730BG10  30BG06F1730BG10  CD  0
L15/0020060101CFI  L15/0020060101CFI  NN  B-NP
20070314BHCN20060101CG10L1500FI20070314CNBHG10L15  20070314BHCN20060101CG10L1500FI20070314CNBHG10L15  CD  0
/  /  PU  0
0820060101  0820060101  CD  0
AFI  AFI  NN  B-NP
20070314BHCN20060101AG10L1508FI20070314CNBHG06F17  20070314BHCN20060101AG10L1508FI20070314CNBHG06F17  CD  0
/  /  PU  0
3020060101  3020060101  CD  0
CLI  CLI  NN  B-NP
20070314BHCN20060101CG06F1730LI20070314CNBHG06F17  20070314BHCN20060101CG06F1730LI20070314CNBHG06F17  CD  0
/  /  PU  0
3020060101  3020060101  CD  0
ALI  ALI  NN  B-NP
20070314BHCN20060101AG06F1730LI20070314CNBHG11B27  20070314BHCN20060101AG06F1730LI20070314CNBHG11B27  CD  0
/  /  PU  0
1020060101  1020060101  CD  0
CLI  CLI  NN  B-NP
20070314BHCN20060101CG11B2710LI20070314CNBHG11B27  20070314BHCN20060101CG11B2710LI20070314CNBHG11B27  CD  0
/  /  PU  0
1020060101  1020060101  CD  0
ALI  ALI  NN  B-NP
20070314BHCN20060101AG11B2710LI20070314CNBHG10H1  20070314BHCN20060101AG11B2710LI20070314CNBHG10H1  CD  0
/  /  PU  0
36  36  CD  0
K7G10H136K717  K7G10H136K717  NN  B-NP
信息  信息  NN  I-NP
处理  处理  NN  I-NP
装置  装置  NN  I-NP
和  和  CC  0
信息  信息  NN  B-NP
处理  处理  NN  I-NP
方法  方法  NN  I-NP
Informationprocessingsystemandinformationprocessingmethod  Informationprocessingsystemandinformationprocessingmethod  NN  I-NP
株式  株式  NN  I-NP
会  会  VV  0
社  社  NN  B-NP
日立  日立  AD  0
制作  制作  VV  0
所  所  MSP  0
日本  日本  NR  0
东京  东京  NN  B-NP
HITACHILTD  HITACHILTD  NR  0
.  .  PU  0
JP  JP  NN  B-NP
株式  株式  NN  I-NP
会  会  VV  0
社  社  NN  B-NP
日立  日立  AD  0
制作  制作  VV  0
所  所  MSP  0
日本  日本  NR  0
东京  东京  NN  B-NP
HITACHILTDJPHITACHILTD  HITACHILTDJPHITACHILTD  NR  0
.  .  PU  0
JP  JP  NN  B-NP
长谷  长谷  JJ  B-NP
川隆  川隆  NN  I-NP
HASEGAWATAKASHIJP  HASEGAWATAKASHIJP  NR  0
长谷  长谷  NN  B-NP
川  川  AD  0
隆  隆  VV  0
TAKASHIHASEGAWAJPHASEGAWATAKASHIJP  TAKASHIHASEGAWAJPHASEGAWATAKASHIJP  NN  B-NP
北京纪  北京纪  NN  I-NP
凯  凯  AD  0
知  知  VV  0
识产  识产  VV  0
权代理  权代理  NN  B-NP
有  有  VE  0
限公司  限公司  VV  0
(  (  PU  0
龙淳  龙淳  NN  B-NP
)  )  PU  0
北京  北京  NR  0
纪凯知  纪凯知  NR  0
识产  识产  VV  0
权代理  权代理  NN  B-NP
有  有  VE  0
限公司  限公司  VV  0
(  (  PU  0
龙淳  龙淳  NN  B-NP
)  )  PU  0
CN1928990A2007031420060906JP  CN1928990A2007031420060906JP  NN  B-NP
2007072023A2007032220050906US20070051230A12007030820060906CN1928990A2007031420060906US20070051230A12007030820060906JP2007072023A2007032220050906  2007072023A2007032220050906US20070051230A12007030820060906CN1928990A2007031420060906US20070051230A12007030820060906JP2007072023A2007032220050906  CD  0
本  本  DT  0
发明  发明  NN  B-NP
提供  提供  VV  0
在  在  P  0
录制  录制  VV  0
音乐  音乐  NN  B-NP
节目  节目  NN  I-NP
等  等  ETC  0
中  中  LC  0
判定  判定  VV  0
节目  节目  NN  B-NP
中  中  LC  0
演奏  演奏  VV  0
的  的  DEC  0
音乐  音乐  NN  B-NP
和  和  CC  0
其他  其他  DT  0
音乐  音乐  NN  B-NP
内容  内容  NN  I-NP
的  的  DEG  0
同  同  DT  0
一  一  CD  0
性  性  NN  B-NP
，  ，  PU  0
取得  取得  VV  0
演奏  演奏  VV  0
的  的  DEC  0
音乐  音乐  NN  B-NP
的  的  DEC  0
相关  相关  JJ  B-NP
信息  信息  NN  I-NP
，  ，  PU  0
提高  提高  VV  0
该  该  DT  0
演奏  演奏  NN  B-NP
音  音  NN  I-NP
质  质  LC  0
，  ，  PU  0
将  将  BA  0
该  该  DT  0
演奏图  演奏图  NN  B-NP
像  像  P  0
赋予  赋予  VV  0
音乐  音乐  NN  B-NP
内容  内容  NN  I-NP
的  的  DEC  0
音乐  音乐  NN  B-NP
内容  内容  NN  I-NP
高  高  JJ  B-NP
附加  附加  NN  I-NP
值化  值化  VV  0
的  的  DEC  0
方法  方法  NN  B-NP
。  。  PU  0
从  从  P  0
两  两  CD  0
个  个  M  0
内容  内容  NN  B-NP
中  中  LC  0
抽取  抽取  VV  0
音  音  NN  B-NP
高列  高列  NN  I-NP
特征  特征  NN  I-NP
信息  信息  NN  I-NP
和  和  CC  0
音量  音量  NN  B-NP
的  的  DEG  0
时间  时间  NN  B-NP
变化规  变化规  NN  I-NP
则性  则性  JJ  B-NP
特征  特征  NN  I-NP
信息  信息  NN  I-NP
，  ，  PU  0
求得  求得  VV  0
是否  是否  AD  0
为  为  VC  0
音乐  音乐  NN  B-NP
，  ，  PU  0
对  对  P  0
判定  判定  VV  0
为  为  VC  0
音乐  音乐  NN  B-NP
的  的  DEC  0
部分  部分  NN  B-NP
，  ，  PU  0
通过  通过  P  0
从  从  P  0
其中  其中  NN  B-NP
间  间  LC  0
比较  比较  VV  0
该  该  DT  0
信息  信息  NN  B-NP
，  ，  PU  0
判定  判定  VV  0
内容  内容  NN  B-NP
内  内  LC  0
的  的  DEG  0
音乐  音乐  NN  B-NP
的  的  DEG  0
同  同  DT  0
一  一  CD  0
性  性  NN  B-NP
。  。  PU  0
通过  通过  P  0
判定  判定  VV  0
与  与  CC  0
由  由  P  0
预先  预先  AD  0
存储  存储  VV  0
多  多  CD  0
个  个  M  0
音乐  音乐  NN  B-NP
内容  内容  NN  I-NP
构成  构成  VV  0
的  的  DEC  0
数据库  数据库  NN  B-NP
上  上  LC  0
的  的  DEG  0
内容  内容  NN  B-NP
的  的  DEG  0
同  同  DT  0
一  一  CD  0
性  性  NN  B-NP
，  ，  PU  0
判定  判定  NN  B-NP
是否  是否  AD  0
与  与  P  0
该  该  DT  0
数据库  数据库  NN  B-NP
的  的  DEC  0
音乐  音乐  NN  B-NP
同一  同一  AD  0
，  ，  PU  0
使  使  VV  0
内容  内容  NN  B-NP
的  的  DEC  0
音乐  音乐  NN  B-NP
一致  一致  AD  0
，  ，  PU  0
这样  这样  AD  0
检索  检索  VV  0
内容  内容  NN  B-NP
内  内  LC  0
的  的  DEG  0
音乐  音乐  NN  B-NP
。  。  PU  0
将  将  BA  0
判定  判定  VV  0
为  为  VC  0
同一  同一  JJ  0
的  的  DEG  0
高  高  JJ  B-NP
音质  音质  NN  I-NP
内容  内容  NN  I-NP
的  的  DEC  0
音响  音响  NN  B-NP
信息  信息  NN  I-NP
或  或  CC  0
将  将  BA  0
该  该  DT  0
内容  内容  NN  B-NP
中  中  LC  0
的  的  DEG  0
音乐  音乐  NN  B-NP
部分  部分  NN  I-NP
的  的  DEC  0
图像  图像  NN  B-NP
附加  附加  VV  0
在  在  P  0
仅  仅  AD  0
判定  判定  VV  0
音响  音响  NN  B-NP
同  同  DT  0
一  一  CD  0
的  的  DEG  0
音乐  音乐  NN  B-NP
内容  内容  NN  I-NP
上  上  LC  0
，  ，  PU  0
通过  通过  P  0
伸缩  伸缩  VV  0
和  和  CC  0
附加  附加  VV  0
音响  音响  NN  B-NP
或  或  CC  0
图像  图像  NN  B-NP
信息  信息  NN  I-NP
，  ，  PU  0
可  可  VV  0
使  使  VV  0
音乐  音乐  NN  B-NP
内容  内容  NN  I-NP
具有  具有  VV  0
高  高  JJ  B-NP
附加值  附加值  NN  I-NP
。  。  PU  0
Thepatentreferstothefieldof  Thepatentreferstothefieldof  NN  B-NP
'  '  PU  0
speechanalysisorsynthesisandspeechrecognition  speechanalysisorsynthesisandspeechrecognition  NN  B-NP
'  '  PU  0
.Theinventionsuppliesamusiccontentvalueaddingmethodbywhichitisdeterminedwhetherplayedmusicinaprogramiscoincidentwiththeothermusiccontent,andwhichacquiresinformationregardingtheplayedmusicandimprovessoundqualityoftheplayedmusic,andwhichattachesanimageoftheplayedmusictothemusiccontent.Tonestringfeatureinformationandregularityfeatureinformationofvolumetimevariationareextractedfromtwocontents,andwhetheritismusicornotisdetermined,andinapartwhereitisdeterminedtobethemusic,bycomparingthepartfromamiddleofthepart,coincidenceofthemusicinthecontentsisdetermined.Bycoincidencedeterminationwiththecontentinadatabasecomposedofapluralityofmusiccontentsaccumulatedbeforehand,itisdeterminedwhichmusicinthedatabaseiscoincidentwith.Thereby,themusicinthecontentissearchedbyidentifyingthemusicinthecontent.  .Theinventionsuppliesamusiccontentvalueaddingmethodbywhichitisdeterminedwhetherplayedmusicinaprogramiscoincidentwiththeothermusiccontent,andwhichacquiresinformationregardingtheplayedmusicandimprovessoundqualityoftheplayedmusic,andwhichattachesanimageoftheplayedmusictothemusiccontent.Tonestringfeatureinformationandregularityfeatureinformationofvolumetimevariationareextractedfromtwocontents,andwhetheritismusicornotisdetermined,andinapartwhereitisdeterminedtobethemusic,bycomparingthepartfromamiddleofthepart,coincidenceofthemusicinthecontentsisdetermined.Bycoincidencedeterminationwiththecontentinadatabasecomposedofapluralityofmusiccontentsaccumulatedbeforehand,itisdeterminedwhichmusicinthedatabaseiscoincidentwith.Thereby,themusicinthecontentissearchedbyidentifyingthemusicinthecontent.  PU  0
20070314C06  20070314C06  NN  B-NP
+  +  CC  0
PUBLICATIONNCN1928990A20070509C10REQUESTOFEXAMINATIONASTOSUBSTANCENCN1928990A20100721C02  PUBLICATIONNCN1928990A20070509C10REQUESTOFEXAMINATIONASTOSUBSTANCENCN1928990A20100721C02  NN  B-NP
-  -  PU  0
DEEMEDWITHDRAWALOFPATENTAPPLICATIONAFTERPUBLICATION  DEEMEDWITHDRAWALOFPATENTAPPLICATIONAFTERPUBLICATION  NN  B-NP
(  (  PU  0
PATENTLAW  PATENTLAW  NN  B-NP
2001)NCN1928990A  2001)NCN1928990A  CD  0
技术  技术  NN  B-NP
领域  领域  NN  I-NP
本  本  DT  0
发明  发明  NN  B-NP
涉及  涉及  VV  0
使用  使用  VV  0
音响  音响  NN  B-NP
的  的  DEC  0
特征  特征  NN  B-NP
信息  信息  NN  I-NP
，  ，  PU  0
检索  检索  VV  0
与  与  P  0
该  该  DT  0
音响  音响  NN  B-NP
类似  类似  VA  0
的  的  DEC  0
音响  音响  NN  B-NP
的  的  DEC  0
信息  信息  NN  B-NP
处理  处理  NN  I-NP
装置  装置  NN  I-NP
和  和  CC  0
信息  信息  NN  B-NP
处理  处理  NN  I-NP
方法  方法  NN  I-NP
以及  以及  CC  0
程序  程序  NN  B-NP
。  。  PU  0
背景  背景  NN  B-NP
技术  技术  NN  I-NP
现有  现有  VV  0
提出  提出  VV  0
了  了  AS  0
求出  求出  VV  0
给与  给与  VV  0
的  的  DEC  0
音乐  音乐  NN  B-NP
的  的  DEC  0
音高  音高  NN  B-NP
和  和  CC  0
音量  音量  NN  B-NP
，  ，  PU  0
从  从  P  0
它们  它们  PN  0
构成  构成  VV  0
包含  包含  VV  0
模糊度  模糊度  NN  B-NP
的  的  DEC  0
逻辑式  逻辑式  NN  B-NP
，  ，  PU  0
进行  进行  VV  0
音乐  音乐  NN  B-NP
的  的  DEG  0
检索  检索  NN  B-NP
的  的  DEC  0
方法  方法  NN  B-NP
(  (  PU  0
日本  日本  NR  0
专利  专利  NN  B-NP
特  特  AD  0
开  开  VV  0
2001  2001  CD  0
-  -  PU  0
52004  52004  CD  0
号  号  M  0
公报  公报  NN  B-NP
)  )  PU  0
。  。  PU  0
另外  另外  AD  0
，  ，  PU  0
还  还  AD  0
提出  提出  VV  0
了  了  AS  0
利用  利用  VV  0
人工  人工  JJ  B-NP
赋予  赋予  NN  I-NP
音乐  音乐  NN  I-NP
的  的  DEC  0
索引  索引  NN  B-NP
或  或  CC  0
曲头  曲头  NN  B-NP
地  地  DEC  0
特征量  特征量  NN  B-NP
作为  作为  VV  0
检索键  检索键  NN  B-NP
，  ，  PU  0
将  将  BA  0
两  两  CD  0
个  个  M  0
音乐  音乐  NN  B-NP
的  的  DEC  0
内容  内容  NN  B-NP
置换  置换  VV  0
为  为  VC  0
一  一  CD  0
个  个  M  0
音乐  音乐  NN  B-NP
的  的  DEC  0
内容  内容  NN  B-NP
的  的  DEC  0
方法  方法  NN  B-NP
(  (  PU  0
日本  日本  NR  0
专利  专利  NN  B-NP
特  特  AD  0
开  开  VV  0
2004  2004  CD  0
-  -  PU  0
134010  134010  CD  0
号  号  M  0
公报  公报  NN  B-NP
)  )  PU  0
。  。  PU  0
但是  但是  AD  0
，  ，  PU  0
在  在  P  0
专利  专利  NN  B-NP
文献  文献  NN  I-NP
1  1  CD  0
中  中  LC  0
，  ，  PU  0
由于  由于  P  0
检索  检索  VV  0
时  时  LC  0
根据  根据  P  0
音高  音高  NN  B-NP
和  和  CC  0
音量  音量  NN  B-NP
，  ，  PU  0
在  在  P  0
检索音  检索音  NN  B-NP
高  高  VA  0
难以  难以  AD  0
检测  检测  VV  0
的  的  DEC  0
曲目  曲目  NN  B-NP
(  (  PU  0
例如  例如  AD  0
说唱  说唱  VV  0
等  等  ETC  0
)  )  PU  0
时  时  LC  0
，  ，  PU  0
难以  难以  AD  0
进行  进行  VV  0
高  高  JJ  B-NP
精度  精度  NN  I-NP
的  的  DEC  0
检索  检索  NN  B-NP
。  。  PU  0
另外  另外  AD  0
，  ，  PU  0
在  在  P  0
检索键  检索键  NN  B-NP
的  的  DEC  0
音乐  音乐  NN  B-NP
与  与  CC  0
数据库  数据库  NN  B-NP
的  的  DEC  0
音乐  音乐  NN  B-NP
的  的  DEC  0
节拍  节拍  NN  B-NP
不同  不同  VA  0
的  的  DEC  0
情况  情况  NN  B-NP
下  下  LC  0
(  (  PU  0
现场  现场  NN  B-NP
图像  图像  NN  I-NP
和  和  CC  0
CD  CD  NN  B-NP
等  等  ETC  0
)  )  PU  0
，  ，  PU  0
在  在  P  0
通过  通过  P  0
用户  用户  NN  B-NP
指定  指定  VV  0
的  的  DEC  0
模糊度  模糊度  NN  B-NP
改变  改变  VV  0
检索  检索  NN  B-NP
精度  精度  NN  I-NP
时  时  LC  0
，  ，  PU  0
用户  用户  NN  B-NP
必需  必需  VV  0
输入  输入  VV  0
适当  适当  VA  0
的  的  DEC  0
值  值  NN  B-NP
，  ，  PU  0
使用  使用  VV  0
很  很  AD  0
不  不  AD  0
方便  方便  VA  0
。  。  PU  0
另外  另外  AD  0
，  ，  PU  0
在  在  P  0
专利  专利  NN  B-NP
文献  文献  NN  I-NP
2  2  CD  0
中  中  LC  0
，  ，  PU  0
由于  由于  P  0
使用  使用  VV  0
由  由  P  0
人工  人工  NN  B-NP
赋予  赋予  VV  0
音乐  音乐  NN  B-NP
的  的  DEC  0
